"x","y","orientation","v","w"
0.0239928,2.62508e-05,,,
0.0246689,2.25535e-05,,,
0.0226039,2.9039e-05,,,
0.0238574,1.5005e-05,,,
0.0240657,2.80272e-05,,,
0.0228977,8.08553e-06,,,
0.0233224,2.91118e-05,,,
0.0243901,1.09301e-06,,,
0.0235161,1.61255e-05,,,
0.0234839,2.79043e-05,,,
0.0236705,2.4654e-05,,,
0.0229678,2.33295e-05,,,
0.0236517,2.16876e-05,,,
0.024359,3.15082e-05,,,
0.0243472,5.81563e-06,,,
0.0244758,3.45082e-05,,,
0.0234218,2.96191e-05,,,
0.0243265,2.3446e-05,,,
0.0241053,8.18878e-06,,,
0.0224166,2.27143e-05,,,
0.0232366,2.32304e-05,,,
0.0239028,1.55831e-05,,,
0.0231361,1.18639e-05,,,
0.0238575,3.03868e-05,,,
0.0236191,2.76664e-05,,,
0.0241527,2.19853e-05,,,
0.0225893,2.6475e-05,,,
0.0244957,-471.679,,,
0.0223092,2.48249e-05,,,
0.0242703,1.72476e-05,,,
0.0241506,3.46621e-05,,,
0.0235273,2.44101e-05,,,
0.0241534,2.3598e-05,,,
0.0246724,1.91431e-05,,,
0.0234991,1.37754e-05,,,
0.0241088,1.83689e-05,,,
0.0244104,3.35205e-05,,,
0.0234095,1.15274e-05,,,
0.0238268,2.11125e-05,,,
0.0245655,1.52425e-05,,,
0.02415,3.07061e-05,,,
0.0236065,1.79391e-05,,,
0.0243549,1.31278e-05,,,
0.0242777,3.44228e-05,,,
0.0225003,3.04007e-05,,,
0.0241569,-633.053,,,
0.0229615,2.79133e-05,,,
0.0246016,3.5059e-05,,,
0.0231713,2.49114e-05,,,
0.0237888,3.33281e-05,,,
0.0245229,2.77445e-05,,,
0.0233923,5.48325e-06,,,
0.0241179,3.11325e-05,,,
0.0243801,2.78284e-05,,,
0.0223129,2.7826e-05,,,
0.0236442,2.8381e-05,,,
0.0242235,3.38597e-05,,,
0.0233661,3.27159e-05,,,
0.0243668,1.01862e-05,,,
0.0241159,2.05218e-05,,,
0.0244233,7.65755e-06,,,
0.0235059,2.85706e-05,,,
0.0244076,8.90887e-06,,,
0.0234098,3.21204e-05,,,
0.0241463,2.51829e-05,,,
0.0235546,1.82982e-05,,,
0.0241195,1.34316e-05,,,
0.0237214,5.84414e-06,,,
0.0236794,2.74948e-05,,,
0.024567,3.11164e-05,,,
0.0246425,2.69024e-05,,,
0.0242883,2.90742e-05,,,
0.0228749,2.96028e-05,,,
0.0237328,3.14692e-05,,,
0.0229785,8.50945e-06,,,
0.0225335,1.59049e-05,,,
0.0242783,3.42057e-05,,,
0.024132,1.28771e-05,,,
0.0239528,3.03083e-05,,,
0.0242442,1.58445e-05,,,
0.0240651,2.76604e-05,,,
0.0220719,3.12577e-05,,,
0.0230886,3.29574e-05,,,
0.0221512,2.9024e-05,,,
0.0240126,3.33923e-05,,,
0.0232606,1.79759e-05,,,
0.024428,2.56539e-05,,,
0.0241156,3.41639e-05,,,
0.022853,1.4293e-05,,,
0.0232241,2.79042e-05,,,
0.0240227,6.3119e-06,,,
0.0227153,2.42476e-05,,,
0.0231671,2.3236e-05,,,
0.0237656,2.77559e-05,,,
0.0230255,2.87725e-05,,,
0.0231217,1.60011e-05,,,
0.0221377,2.70749e-05,,,
0.0241588,1.3106e-05,,,
0.0223351,2.5342e-05,,,
0.0228287,1.64117e-05,,,
0.0240752,3.39417e-05,,,
0.0229767,2.99476e-05,,,
0.0228143,3.22953e-05,,,
0.0219854,1.73925e-05,,,
